,Diseases,Number of times a disease occurred in polygenic risk score's related articles
65,Glomerular filtration rate,92
375,Osteoarthritis,91
22055,Hypothyroidism,91
88,Celiac disease,89
1497,Nonalcoholic fatty liver disease,84
130,Insulin levels,81
29007,Head injury,81
1418,Hip circumference,80
32286,Age-related macular degeneration,80
40285,Gastric cancer,80
32452,Viral infection,79
396,Body fat percentage,76
29580,Bladder cancer,76
311,Openness,74
336,Chronotype,74
358,Gout,74
22061,Eczema,74
22065,High cholesterol,73
797,Fractures,71
4731,Pneumonia,71
29472,Social deprivation,70
312,Conscientiousness,69
1,Epithelial ovarian cancer,67
21630,Venous thromboembolism,67
27418,Severe obesity,67
40274,Dilated cardiomyopathy,66
256,Estimated glomerular filtration rate,65
354,White blood cell count,62
370,Fasting blood glucose,62
36450,Liver fat,62
10418,Cortical surface area,60
103,Atopic dermatitis,59
108,Pulse pressure,59
140,Waist-hip ratio,59
343,Platelet count,57
29552,Endometrial cancer,57
25,Ankylosing spondylitis,56
20342,Biological sex,56
10226,Essential hypertension,55
21325,Allergic disease,53
22063,Skin pigmentation,53
29583,Positive affect,53
5476,Thyroid cancer,52
28867,Pancreatitis,52
28974,Cataract,51
10236,Back pain,50
29423,Sensation seeking,50
29456,Self-rated health,49
480,Lung adenocarcinoma,48
22021,Peripheral vascular disease,48
4732,Tuberculosis,47
5474,Postmenopausal breast cancer,47
179,Age at first birth,46
314,Agreeableness,46
12635,Basal cell carcinoma,46
29578,Lymphocytic leukemia,46
40295,Hypertrophic cardiomyopathy,46
40327,Aortic aneurysm,46
8540,Cortisol levels,45
29582,Life satisfaction,45
300,Intraocular pressure,44
28212,Endometriosis,44
23,Total cholesterol levels,43
21566,Hearing loss,43
822,Metabolite levels,42
22043,Blood glucose levels,42
40332,Peripheral artery disease,42
40343,Preeclampsia,42
22062,Hair color,39
29445,End-stage renal disease,39
147,Vigorous physical activity,38
791,Inflammatory biomarkers,38
29593,Renal cell carcinoma,38
40273,Diabetic nephropathy,38
37551,Eosinophils,37
879,Coffee consumption,36
28210,Malaria,36
40248,Angina pectoris,36
36,Visceral adipose tissue,35
122,Heel bone mineral density,35
460,Hemoglobin concentration,35
333,Verbal-numerical reasoning,34
5506,Cardioembolic stroke,34
10238,Bronchitis,34
21446,Anaemia,34
36455,Healthspan,34
128,Cervical cancer,33
205,Left ventricular ejection fraction,33
827,Number of sexual partners,33
40313,Pulmonary fibrosis,33
29443,Polycystic ovary syndrome,32
32283,Allergic rhinitis,32
346,Hematocrit,31
347,Lymphocyte count,31
567,Leptin levels,31
14368,Psoriatic arthritis,31
28755,Atopy,31
61,Testosterone levels,30
40301,Intracerebral hemorrhage,30
888,Meat consumption,29
1013,Protein quantitative trait loci,29
6101,Spelling,29
20357,Childhood body mass index,29
40278,Esophageal cancer,29
26,Vitiligo,28
475,Primary biliary cirrhosis,28
36484,Body fat mass,28
38600,Hip fracture,28
40089,Ventricular arrhythmia,28
35,Subcutaneous adipose tissue,27
323,Primary sclerosing cholangitis,27
352,Neutrophil count,27
353,Red blood cell count,27
357,Urate levels,27
22054,Tanning,27
28884,Irritable bowel syndrome,27
37326,Right hippocampal volume,27
106,Mean arterial pressure,26
351,Monocyte count,26
493,Refractive error,26
10210,Bacterial infection,26
28836,Constipation,26
28957,Pulmonary embolism,26
57,Hemoglobin levels,25
356,Adiponectin levels,25
491,Insomnia complaints,25
6099,Word reading,25
22047,Morning person,25
40252,Brain tumor,25
37390,Acute pancreatitis,24
38604,Gestational diabetes mellitus,24
40268,Chronic bronchitis,24
196,Microalbuminuria,23
348,Mean corpuscular hemoglobin,23
350,Mean corpuscular volume,23
10235,Connective tissue disorder,23
29438,Systemic sclerosis,23
32295,COVID-19,23
36492,Psychoticism,23
1053,Snoring,22
32448,Respiratory infection,22
39178,Diabetic kidney disease,22
40294,Hyperthyroidism,22
40310,Nephrotic syndrome,22
98,Narcolepsy,21
534,Fat-free mass,21
807,Generalized epilepsy,21
10241,Cataracts,21
29219,Estradiol levels,21
67,Lean body mass,20
203,Left ventricular mass,20
1051,Temporal lobe volume,20
1154,Erectile dysfunction,20
5507,Small vessel stroke,20
28855,Osteopenia,20
29342,Cysteine levels,20
29447,Knee osteoarthritis,20
29586,Resting heart rate,20
887,Vegetable consumption,19
21927,Daytime nap,19
22049,Basal metabolic rate,19
28214,Miscarriage,19
28938,Peripheral neuropathy,19
29627,Autoimmune thyroid disease,19
40091,C-reactive protein,19
40266,Chronic pancreatitis,19
2043,Glutamate levels,18
8570,Homocysteine levels,18
29588,White matter hyperintensity volume,18
37374,Left hippocampal volume,18
796,Age of smoking initiation,17
4733,Herpes zoster,17
40256,Chronic heart failure,17
53,"Cholesterol, total",16
387,Advanced age-related macular degeneration,16
21559,Aortic stenosis,16
28246,Sleep apnoea,16
28345,Retinal detachment,16
29574,Latent autoimmune diabetes,16
29581,Kidney cancer,16
40282,Food allergy,16
40296,Interstitial lung disease,16
40309,Myocarditis,16
40329,Abortion,16
40344,Psoriasis vulgaris,16
73,Esophageal adenocarcinoma,15
806,Focal epilepsy,15
829,General risk tolerance,15
7048,Prostate-specific antigen levels,15
20355,Retinitis pigmentosa,15
28890,Joint pain,15
28904,Meningitis,15
36458,Total hippocampal volume,15
40088,Uveitis,15
110,Sarcoidosis,14
248,Offspring birth weight,14
288,Number of pregnancies,14
445,Mean platelet volume,14
1414,Bilirubin levels,14
1421,Membranous nephropathy,14
4737,Actinic keratosis,14
11363,Nasopharyngeal carcinoma,14
21061,Idiopathic pulmonary fibrosis,14
29221,Psychiatric symptomatology,14
40281,Febrile seizures,14
40317,Sleep apnea syndrome,14
54,Creatinine levels,13
265,Pulse rate,13
321,Central corneal thickness,13
344,Basophil count,13
345,Eosinophil counts,13
5508,Large artery stroke,13
37417,Oxygen Saturation,13
40321,Subarachnoid hemorrhage,13
129,Insulin sensitivity index,12
4735,Urinary tract infection,12
5311,Fish consumption,12
8622,Uric acid levels,12
16522,Multisite chronic pain,12
22022,Valve disease,12
22064,Sunburns,12
28336,Alcohol dependency,12
35081,Carotid intima media thickness,12
37395,Visuospatial ability,12
40334,Pulmonary tuberculosis,12
207,Adolescent idiopathic scoliosis,11
5340,Tea consumption,11
10946,Calcium levels,11
22046,Autoimmune traits,11
28933,Fibromyalgia,11
29427,Negative urgency,11
32276,Age at first sexual intercourse,11
36488,Emotional lability,11
319,Primary biliary cholangitis,10
799,Childhood absence epilepsy,10
913,Self-reported risk-taking behaviour,10
1420,Facial morphology,10
5312,Fruit consumption,10
10218,Diverticular disease,10
14336,Keratoconus,10
17728,Lacunar stroke,10
19593,Adult asthma,10
28330,Varicose veins,10
29223,Thoracic aortic aneurysms,10
37392,Language performance,10
40243,Urticaria,10
40261,Cerebral aneurysm,10
40335,Pediatric asthma,10
40342,Polycystic kidney disease,10
8,Invasive epithelial ovarian cancer,9
112,Age-related hearing impairment,9
229,Irritable mood,9
371,Homeostasis model assessment of insulin resistance,9
384,Proinsulin levels,9
397,Attention function,9
801,Juvenile myoclonic epilepsy,9
897,Freckles,9
907,Peak expiratory flow,9
1014,Parental lifespan,9
5511,Leprosy,9
8542,Cotinine levels,9
10209,Deep venous thrombosis,9
28915,Disc degeneration,9
36453,Early age-related macular degeneration,9
40316,Stable angina pectoris,9
40328,Autoimmune hepatitis,9
51,Fibrinogen levels,8
194,Urinary albumin-to-creatinine ratio,8
322,Self-reported tiredness,8
349,Mean corpuscular hemoglobin concentration,8
800,Juvenile absence epilepsy,8
844,Male-pattern baldness,8
10955,Prothrombin time,8
28703,Major bleeding,8
28972,Carpal tunnel syndrome,8
29196,Blood pressure medication use,8
29426,Positive urgency,8
29628,Pernicious anemia,8
29643,Occupational attainment,8
38181,Digit span task,8
40241,Serum uric acid levels,8
40267,Chronic renal failure,8
40336,Pericarditis,8
102,Sciatica,7
123,Oral cavity and pharyngeal cancer,7
284,Number of live births,7
292,Red cell distribution width,7
309,Preschool internalizing problems,7
461,Platelet distribution width,7
466,Reticulocyte count,7
482,Small cell lung carcinoma,7
1052,Frontal lobe volume,7
6533,Prolactin levels,7
10244,Chronic fatigue syndrome,7
10948,Iron levels,7
11071,Eosinophilic esophagitis,7
22044,Lipoprotein (a) levels,7
29565,Sleep efficiency,7
32285,Iron deficiency,7
135,Corrected insulin response,6
216,Height variance,6
234,Worry too long after an embarrassing experience,6
492,Alzheimer's disease,6
823,Knee pain,6
824,Automobile speeding propensity,6
1413,Alanine aminotransferase levels,6
1517,Spontaneous coronary artery dissection,6
4728,Hepatitis B,6
5335,Processed meat consumption,6
6104,Performance intelligence quotient,6
10954,Activated partial thromboplastin time,6
10957,Sitting height,6
11726,acne vulgaris,6
17001,Probable type 1 diabetes,6
19582,Refractive astigmatism,6
28683,Liverp,6
29220,Risky substance use,6
29422,Myeloproliferative neoplasms,6
29425,Lack of premeditation,6
29428,Lack of perseverance,6
29466,Hormone measurements,6
29470,Vitamin levels,6
32275,Gastroesophageal reflux disease,6
32284,Frequent insomnia symptoms,6
39179,Fibromuscular dysplasia,6
40288,Goiter,6
236,Feeling nervous,5
386,circulating leptin levels,5
415,Interleukin-8 levels,5
458,Granulocyte count,5
484,Lung cancer in never smokers,5
536,Serum metabolite levels,5
768,Resistin levels,5
832,Nonischemic cardiomyopathy,5
842,Uterine fibroids,5
843,Pulmonary arterial hypertension,5
875,Depressed affect,5
4730,Mononucleosis,5
5332,Oily fish consumption,5
5477,Uterine cancer,5
6102,Phoneme awareness,5
8538,Choline levels,5
9972,Serum total cholesterol levels,5
9998,Myasthenia gravis,5
10966,Serum creatinine levels,5
11073,Frailty index,5
19580,Mean spherical equivalent,5
21958,Phosphate levels,5
28184,Female infertility,5
28200,Inguinal hernia,5
28888,Joint disorder,5
29554,Philtrum width,5
32257,Lung volume,5
32260,Visceral adipose tissue volume,5
32409,Iron deficiency anemia,5
32443,Peripheral nerve disorder,5
36497,Urinary incontinence,5
38478,Blood sugar levels,5
40242,Urolithiasis,5
40249,Aplastic anemia,5
40275,Diphtheria,5
40299,Ileus,5
84,Disease progression in age-related macular degeneration,4
298,Vertical cup-disc ratio,4
301,Number of children ever born,4
318,Lung disease severity in cystic fibrosis,4
366,Urinary albumin excretion,4
413,Interleukin-6 levels,4
825,Alcohol consumption (drinks per week),4
835,Eosinophilic granulomatosis with polyangiitis,4
882,Milk consumption,4
4725,Otitis media,4
4736,Candidiasis,4
5471,Vertex-wise cortical thickness,4
5473,Hormone-sensitive cancer,4
6469,Brain-derived neurotrophic factor levels,4
7042,Alpha-synuclein levels,4
7512,Thrombin levels,4
9273,Total subcortical volume,4
9911,Albumin levels,4
9958,Glycerol levels,4
10953,Creatine kinase levels,4
11362,Brugada syndrome,4
11788,Left-handedness,4
11789,Arterial stiffness index,4
22069,Appendicular lean mass,4
28338,Cystitis,4
28941,Peritonitis,4
29011,Heart arrhythmia,4
29462,Blood protein levels,4
32439,Nervous system infection,4
32441,Neurological injury,4
38634,Delayed reward discounting,4
40246,Acute renal failure,4
40264,Cholelithiasis,4
40270,Colon polyp,4
40292,Hepatic cancer,4
40304,Keloid,4
40331,Ovarian cyst,4
40337,Periodontal disease,4
3,Endometrioid ovarian cancer,3
6,High-grade serous ovarian cancer,3
12,Insulin secretion rate,3
39,Pericardial fat,3
44,Cluster headache,3
50,Serum alkaline phosphatase levels,3
52,Aspartate aminotransferase levels,3
64,LDL cholesterol,3
124,Oral cavity cancer,3
202,Left ventricular end-diastolic volume,3
204,Left ventricular end-systolic volume,3
230,Feeling lonely,3
237,Suffering from nerves,3
243,Femoral neck bone mineral density,3
259,Urinary sodium excretion,3
320,Urinary metabolites,3
364,Gallbladder cancer,3
452,Eosinophil percentage of white cells,3
453,Plateletcrit,3
810,Post-term birth,3
841,Heavy menstrual bleeding,3
872,Neuromyelitis optica,3
914,Emotional recognition,3
931,Citrate levels,3
940,Lactate levels,3
1835,Serine levels,3
5315,Vegetables consumption,3
5929,Prothrombin levels,3
6103,Non-word repetition,3
7517,Thyroglobulin levels,3
8644,Serotonin levels,3
9963,Omega-3 fatty acid levels,3
10212,Bone disorder,3
10220,Ear disorder,3
10233,Gallbladder disease,3
10949,Magnesium levels,3
11370,Phosphatidylcholine levels,3
11383,Saturated fatty acid levels,3
16471,Chronic kidney disease in diabetes,3
19578,Anisometropia,3
21444,Allergy to house dust mite,3
21922,Dementia with Lewy bodies,3
28198,Eye trauma,3
28843,Diabetic eye disease,3
28950,Post natal depression,3
28969,Bronchiectasis,3
29534,Extremely high intelligence,3
32289,Hemorrhoids,3
32291,Peptic ulcers,3
32294,Corneal resistance factor,3
38616,Abdominal subcutaneous adipose tissue,3
40325,Typhoid fever,3
40326,Unstable angina pectoris,3
2,Ovarian clear cell cancer,2
21,Low density lipoprotein cholesterol levels,2
47,Glycated hemoglobin levels,2
48,Alanine transaminase levels,2
49,Serum albumin levels,2
60,Ferritin levels,2
141,Childhood steroid-sensitive nephrotic syndrome,2
233,Feeling guilty,2
240,Feeling tense,2
245,Forearm bone mineral density,2
299,Optic disc area,2
456,High light scatter reticulocyte count,2
563,Renin levels,2
724,Growth hormone levels,2
755,Osteoprotegerin levels,2
826,Smoking status (ever vs never smokers),2
868,Breast size,2
901,Excessive hairiness,2
905,FEV1,2
929,Alanine levels,2
937,Glycine levels,2
958,Tyrosine levels,2
1044,Multiple consecutive miscarriage,2
4377,Clusterin levels,2
4474,Sex hormone-binding globulin levels,2
5512,Chronic spontaneous urticaria,2
5578,Thyroid stimulating hormone levels,2
6100,Non-word reading,2
7019,Parathyroid hormone levels,2
7170,Arachidonic acid levels,2
8428,Butyric acid levels,2
8537,Caffeine levels,2
8631,Xanthine levels,2
9964,Omega-6 fatty acid levels,2
9985,Uterine leiomyomata,2
10199,Language functional connectivity,2
10201,Abdominal hernia,2
10206,Appendicitis,2
10234,Chronic sinusitis,2
10239,Cardiac problem,2
10243,Emphysema or chronic bronchitis,2
10950,Potassium levels,2
10965,Serum folate levels,2
11426,Serum calcium levels,2
11762,Glycoprotein acetyls levels,2
11781,Retinal venular tortuosity,2
16526,Liver fibrosis in non-alcoholic fatty liver disease,2
16822,Possible type 2 diabetes,2
18181,Stool frequency,2
19901,Probable type 2 diabetes,2
20356,Early onset atrial fibrillation,2
21169,Nasal polyps,2
22039,Mean reticulocyte volume,2
22067,Serum phosphate levels,2
28332,Vertigo,2
28352,Rosacea,2
28853,Osteomyelitis,2
28921,Duodenal ulcer,2
28948,Polymyalgia rheumatica,2
29023,Hiatus hernia,2
29312,Ergothioneine levels,2
29460,Total testosterone levels,2
29463,Carotenoid levels,2
29557,General factor of neuroticism,2
29639,Intrinsic epigenetic age acceleration,2
32258,Pancreas volume,2
32259,Kidney volume,2
32404,Hematological disease,2
36454,Microscopic colitis,2
36472,Subiculum volume,2
38176,Common executive function,2
38180,Symbol digit substitution task,2
38475,Cytosine levels,2
39488,Paraxanthine levels,2
40090,Zoster infection,2
40244,Uterine prolapse,2
40253,Hepatic bile duct cancer,2
40263,Cholecystitis,2
40272,Contact dermatitis,2
40287,Gastric ulcer,2
40303,Juvenile rheumatoid arthritis,2
40323,Stevens-Johnson syndrome,2
40333,Polymyositis,2
40340,Pneumothorax,2
0,Low-grade serous and serous borderline ovarian cancer,1
4,Mucinous ovarian carcinoma,1
7,Low-grade serous ovarian cancer,1
20,High density lipoprotein cholesterol levels,1
55,Gamma glutamyl transferase levels,1
56,HDL cholesterol,1
58,C-reactive protein levels,1
63,Urea levels,1
104,Vitamin D levels,1
125,Oropharynx cancer,1
184,Ischemic stroke (large artery atherosclerosis),1
186,Ischemic stroke (small-vessel),1
187,Ischemic stroke (cardioembolic),1
206,Left ventricular mass to end-diastolic volume ratio,1
244,Lumbar spine bone mineral density,1
296,Joint damage in rheumatoid arthritis,1
297,Optic cup area,1
302,Educational attainment (years of education),1
367,Educational attainment (college completion),1
369,Fasting blood insulin,1
372,Homeostasis model assessment of beta-cell function,1
383,Urinary uromodulin levels,1
399,Vascular endothelial growth factor levels,1
405,Hepatocyte growth factor levels,1
420,Interleukin-18 levels,1
425,Monocyte chemoattractant protein-1 levels,1
440,Immature fraction of reticulocytes,1
441,Basophil percentage of white cells,1
443,Neutrophil percentage of white cells,1
454,Granulocyte percentage of myeloid white cells,1
462,Eosinophil percentage of granulocytes,1
468,Sum eosinophil basophil counts,1
473,Parkinson's disease,1
541,Sortilin levels,1
570,Tissue factor levels,1
607,Galectin-3 levels,1
613,Sclerostin levels,1
751,Matrix metalloproteinase-3 levels,1
753,Myeloperoxidase levels,1
794,Smoking initiation (ever regular vs never regular),1
809,Early spontaneous preterm birth,1
883,Natto consumption,1
902,Excessive sweating,1
908,Left ventricular stroke volume,1
912,Sweet taste preference,1
930,Carnitine levels,1
936,Glutamine levels,1
987,Transforming growth factor-beta levels,1
1048,High fasting blood glucose,1
1830,Phenylalanine levels,1
1854,Tryptophan levels,1
1860,Kynurenine levels,1
2036,Aspartate levels,1
4384,Leptin receptor levels,1
4454,Glucagon levels,1
4494,Glial cell line-derived neurotrophic factor levels,1
4729,Hepatitis C,1
4849,Descending thoracic aortic diameter,1
4970,White wine liking,1
5310,Overall healthy diet,1
5571,Hepcidin levels,1
5580,Alpha-1-antitrypsin levels,1
5956,Glial fibrillary acidic protein levels,1
7018,Tumor necrosis factor levels,1
7448,Interleukin-23 levels,1
7472,Fibronectin levels,1
7524,Leisure screen time,1
7527,Sedentary behavior at work,1
7876,Plasminogen activator inhibitor 1 levels,1
7922,Glucocorticoid receptor levels,1
7979,Longitudinal peak diastolic strain rate,1
7980,Radial peak diastolic strain rate,1
8557,Glutamic acid levels,1
8605,Kynurenic acid levels,1
8606,Lactic acid levels,1
8616,Thyroxine levels,1
8647,Stearic acid levels,1
9271,Total cerebellar volume,1
9272,Total cerebral volume,1
9909,3-Hydroxybutyrate levels,1
9969,Pyruvate levels,1
9973,Sphingomyelin levels,1
9977,Right colon cancer,1
9978,Left colon cancer,1
9982,Waist circumference adjusted for body mass index,1
10225,Esophageal disorder,1
10961,Pro B-type natriuretic peptide,1
10964,Total bilirubin levels,1
11068,Severe COVID-19 infection,1
11070,Type 1 diabetes with low genetic risk score,1
11368,Ratio of omega-6 fatty acids to omega-3 fatty acids,1
11390,Degree of unsaturation,1
11459,Plasma selenium levels,1
11650,Exhaled nitric oxide levels,1
11764,Polyunsaturated fatty acid levels,1
11779,Retinal arteriolar tortuosity,1
11795,Sum of stenosis,1
16469,Diabetic kidney disease in diabetes,1
16470,Chronic kidney disease in type 2 diabetes,1
16472,Chronic kidney disease and diabetic kidney disease in type 2 diabetes,1
16473,Chronic kidney disease and diabetic kidney disease in diabetes,1
16484,Diabetic kidney disease in type 2 diabetes,1
18212,Severe bleeding,1
21923,Functional dyspepsia,1
21944,Sulfate levels,1
22020,Treatment with insulin,1
22023,Venous thrombosis or pulmonary embolism,1
24292,Ultradistal forearm bone mineral density,1
28322,Umbilical hernia,1
28349,Rheumatic fever,1
28827,Chickenpox,1
28848,Nervous breakdown,1
28859,Other joint disorder,1
28919,Dry eyes,1
28943,Pernicious anaemia,1
28967,Breast cysts,1
29017,Heart valve problem or heart murmur,1
29019,Helicobacter pylori,1
29198,Lipid lowering medication use,1
29248,Myo-inositol levels,1
29362,Mannose levels,1
29414,Haemorrhoidal disease,1
29449,Osteoarthritis of the hip or knee,1
29465,Hematology traits,1
29538,Infantile hypertrophic pyloric stenosis,1
29541,Biliary atresia,1
29547,Pelvic organ prolapse,1
29600,Medication use (antihypertensives),1
29624,Acute appendicitis,1
29633,Urinary creatinine levels,1
29635,Non-albumin protein levels,1
32264,Pancreas fat,1
32450,Tonsillitis,1
32453,Liver enzyme levels (alanine transaminase),1
36456,Brain imaging measurements,1
36479,Hippocampal tail volume,1
36480,Fimbria volume,1
36498,Stress urinary incontinence,1
36501,Fecal incontinence,1
37318,Right fimbria volume,1
37341,Cervicitis,1
37485,Right ventricular end diastolic volume,1
37486,Right ventricular ejection fraction,1
38175,Posterior urethral valves,1
38177,Prospective memory task,1
38500,Plasma lactate levels,1
38621,Liver proton density fat fraction,1
38627,Weight-to-muscle ratio,1
38628,Abdominal fat ratio,1
38660,COVID-19 susceptibility,1
38983,Otosclerosis,1
39177,Descending aorta diameter,1
39365,Probable recurrent major depression (moderate and severe),1
40245,Acute glomerulonephritis,1
40271,Compression fracture,1
40297,Idiopathic thrombocytopenic purpura,1
40302,Iritis,1
40305,Malignant lymphoma,1
40306,Mastopathy,1
40341,Pollinosis,1
5,Serous invasive ovarian cancer,0
10,Peak insulin response,0
11,Acute insulin response,0
13,Insulin disposition index,0
14,Insulin disposition index (BMI adjusted),0
15,Peak insulin response (BMI and insulin secretion adjusted),0
16,Peak insulin response (insulin secretion adjusted),0
17,Acute insulin response (insulin secretion and BMI adjusted),0
18,Acute insulin response (insulin secretion adjusted),0
19,insulin secretion rate (BMI adjusted),0
28,Severe gingival inflammation,0
30,Glomerular filtration rate in non diabetics (creatinine),0
31,Glomerular filtration rate in diabetics (creatinine),0
32,Glomerular filtration rate (cystatin C),0
34,Glomerular filtration rate (creatinine),0
37,Pericardial adipose tissue adjusted for height and weight,0
38,Visceral adipose tissue adjusted for BMI,0
40,Subcutaneous adipose tissue attenuation (Hounsfield unit scale),0
41,Visceral adipose tissue attenuation (Hounslow unit scale),0
42,Visceral adipose tissue/subcutaneous adipose tissue ratio,0
43,Visceral adipose tissue/subcutaneous adipose tissue ratio adjusted for BMI,0
45,Posterior cortical atrophy and Alzheimer's disease,0
46,Dehydroepiandrosterone sulphate levels,0
59,Insulin-like growth factor 1 levels,0
66,TB-LM or TBLH-BMD (pleiotropy),0
68,"Bone mineral density (paediatric, total body less head)",0
72,Barrett's esophagus,0
74,Barrett's esophagus  or Esophageal adenocarcinoma,0
76,Sjögren's syndrome,0
77,Heart rate variability traits (SDNN),0
78,Heart rate variability traits (RMSSD),0
79,Heart rate variability traits (pvRSA/HF),0
81,Modified Stumvoll Insulin Sensitivity Index (BMI interaction),0
82,Modified Stumvoll Insulin Sensitivity Index,0
83,Modified Stumvoll Insulin Sensitivity Index (model adjusted for BMI),0
85,Disease progression to geographic atrophy form in age-related macular degeneration,0
86,Disease progression to choroidal neovascularization form in age-related macular degeneration,0
87,Disease progression in age-related macular degeneration (adjusted for baseline),0
89,Early gestational weight gain (fetal effect),0
90,Gestational weight gain (fetal effect),0
91,Late gestational weight gain (fetal effect),0
92,Early gestation weight gain (maternal effect),0
93,Late gestational weight gain (maternal effect),0
94,Gestational weight gain (maternal effect),0
95,Sarcoidosis (non-Lofgren's syndrome),0
96,Sarcoidosis (Lofgren's syndrome),0
97,QT interval (ambient particulate matter interaction),0
100,P wave terminal force,0
101,P wave duration,0
111,"Coronary artery disease (myocardial infarction, percutaneous transluminal coronary angioplasty, coronary artery bypass grafting, angina or chromic ischemic heart disease)",0
113,IgG sialylation phenotypes (multivariate analysis),0
114,IgG disialylation phenotypes (multivariate analysis),0
115,IgG monosialylation phenotypes (multivariate analysis),0
116,IgG fucosylation phenotypes (multivariate analysis),0
117,IgG bisecting N-acetyl glucosamine phenotypes (multivariate analysis),0
118,IgG galactosylation phenotypes (multivariate analysis),0
119,IgG monogalactosylation phenotypes (multivariate analysis),0
120,IgG digalactosylation phenotypes (multivariate analysis),0
121,IgG N-glycosylation phenotypes (multivariate analysis),0
126,Glaucoma (primary angle closure),0
127,Selective IgA deficiency,0
131,Insulin levels adjusted for BMI,0
132,Ratio of the area under the curve for insulin and the area under the curve for glucose,0
133,Area under the curve of insulin levels,0
134,Incremental insulin,0
136,Corrected insulin response adjusted for insulin sensitivity index,0
138,QRS duration,0
139,Waist-to-hip ratio adjusted for BMI,0
142,Vitiligo (late onset),0
143,Vitiligo (early onset),0
144,Uveitis in juvenile idiopathic arthritis,0
145,Accelerometer-based physical activity measurement (fraction of time with accelerations >425 milli-gravities),0
146,Moderate to vigorous physical activity levels,0
148,Strenuous sports or other exercises,0
149,Accelerometer-based physical activity measurement (average acceleration),0
150,Infant death in continuous marriage (Proportion of children died <1 year),0
151,Infant and Child death (Number of children died <5 years),0
152,Infant and Child death in continuous marriage (Number of children died <5 years),0
153,Infant and Child death (Proportion of children died <5 years),0
154,Infant and Child death in continuous marriage (Proportion of children died <5 years),0
155,"Infant, child and juvenile death (number of children died <15 years)",0
156,"Infant, child and juvenile death in continuous marriage (number of children died <15 years)",0
157,"Infant, child and juvenile death (proportion of children died <15 years)",0
158,"Infant, child and juvenile death in continuous marriage (proportion of children died <15 years)",0
159,Infant death (Number of children died <1 year),0
160,Infant death in continuous marriage (Number of children died <1 year),0
161,Infant death (Proportion of children died <1 year),0
162,Infant survival (Number of children surviving at 1 year),0
163,Infant survival in continuous marriage (Number of children surviving at 1 year),0
164,Infant survival (Proportion of children surviving at 1 year),0
165,Infant survival in continuous marriage (Proportion of children surviving at 1 year),0
166,Number of miscarriages,0
167,Number of miscarriages in continuous marriage,0
